,web gram freq,,,,,
apples,4030073,,,,,
basketball players,174833,,,,,
bottle openers,150428,,,,,
days in Fall,652,,,,,
Fall days,12564,,,,,
days of Fall,4965,,,,,
Autumn days,17366,,,,,
days in Summer,7305,,,,,
Summer days,229054,,,,,
days of Summer,100261,,,,,
days in Winter,5332,,,,,
Winter days,80466,,,,,
days of Winter,23883,,,,,
dishwashers,1535830,,,,,
dishwashing machines,19515,,,,,
grapes,2644502,,,,,
gymnasts,252401,,,,,
movies,182764607,,,,,
music videos,5440615,,,,,
soccer players,177780,,,,,
toasters,882911,,,,,
videos of cute animals,0,,,,,
videos of animals,661,,,,,
animal videos,25000,,,,,
watermelons,190836,,,,,
watermelon,884072,,,,,